cellName,fusionPresent_bool
A10_B001545,0
A11_B003518,0
A11_B003067,0
A11_B003119,0
A11_1001000408,0
A10_1001000412,0
A11_B003523,0
A10_B002572,0
A11_B002573,0
A11_B001470,0
A11_B000861,0
A11_B003115,0
A10_B003071,0
A11_1001000318,0
A11_B001474,0
A11_B003527,0
A10_B000863,0
A11_B000862,0
A11_1001000407,0
A10_B003588,0
A11_B003528,0
A10_B003529,0
A10_B003070,0
A10_B001474,0
A11_B001475,0
A10_B003527,0
A11_B002572,0
A10_B003523,0
A11_B003522,0
A11_B000860,0
A10_B001470,0
A10_B003115,0
A11_1001000412,0
A11_B001545,0
A11_B003577,0
A10_B003518,0
A10_1001000408,0
A10_B003528,0
A10_B003125,0
A10_1001000407,0
